code_name,weather_name,Levenshtein_Distance
Woja Airport,"NOME AIRPORT, AK US",3
Naga Airport,"NOME AIRPORT, AK US",3
Lemnos Airport,"RENO AIRPORT, NV US",3
Bakel Airport,"BETHEL AIRPORT, AK US",3
Monroe Regional,"MONTROSE REGIONAL AIRPORT, CO US",3
Beja Airport,"RENO AIRPORT, NV US",3
Man Airport,"RENO AIRPORT, NV US",3
Omsk Airport,"NOME AIRPORT, AK US",3
Sofia Airport,"KODIAK AIRPORT, AK US",3
Goya Airport,"NOME AIRPORT, AK US",3
Van Airport,"RENO AIRPORT, NV US",3
Birao Airport,"BISHOP AIRPORT, CA US",3
Omak Airport,"KODIAK AIRPORT, AK US",3
Tikal Airport,"SITKA AIRPORT, AK US",3
Hana Airport,"RENO AIRPORT, NV US",3
Mayo Airport,"RENO AIRPORT, NV US",3
Roma Airport,"RENO AIRPORT, NV US",3
Austin - Bergstrom International,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3
Oyem Airport,"NOME AIRPORT, AK US",3
Nimba Airport,"SITKA AIRPORT, AK US",3
Nimba Airport,"NOME AIRPORT, AK US",3
Trona Airport,"RENO AIRPORT, NV US",3
Kako Airport,"RENO AIRPORT, NV US",3
Reyes Airport,"RENO AIRPORT, NV US",3
Eaker Field,"BAKERSFIELD AIRPORT, CA US",3
Montrose Regional,"MONROE REGIONAL AIRPORT, LA US",3
Munda Airport,"JUNEAU AIRPORT, AK US",3
Eua Airport,"RENO AIRPORT, NV US",3
Basco Airport,"BISHOP AIRPORT, CA US",3
Bata Airport,"SITKA AIRPORT, AK US",3
Bo Airport,"RENO AIRPORT, NV US",3
Kosipe Airport,"KODIAK AIRPORT, AK US",3
Bo Airport,"NOME AIRPORT, AK US",3
Faro Airport,"RENO AIRPORT, NV US",3
Alta Airport,"SITKA AIRPORT, AK US",3
Buyo Airport,"RENO AIRPORT, NV US",3
Keshod Airport,"BISHOP AIRPORT, CA US",3
Abeche Airport,"BETHEL AIRPORT, AK US",3
York Airport,"NOME AIRPORT, AK US",3
Eros,"RENO AIRPORT, NV US",3
Yakataga,"YAKUTAT AIRPORT, AK US",3
Koroba Airport,"CORDOVA AIRPORT, AK US",3
Wick Airport,"SITKA AIRPORT, AK US",3
Minj Airport,"RENO AIRPORT, NV US",3
Chino Airport,"RENO AIRPORT, NV US",3
Akiak Airport,"KODIAK AIRPORT, AK US",3
Dundo Airport,"RENO AIRPORT, NV US",3
Rost Airport,"RENO AIRPORT, NV US",3
Doro Airport,"RENO AIRPORT, NV US",3
Bisha Airport,"SITKA AIRPORT, AK US",3
Muan International,"GUAM INTERNATIONAL AIRPORT, GU GQ",3
Nema Airport,"RENO AIRPORT, NV US",3
Rost Airport,"NOME AIRPORT, AK US",3
Wellington International,"WILMINGTON INTERNATIONAL AIRPORT, NC US",3
Saga Airport,"SITKA AIRPORT, AK US",3
Doro Airport,"NOME AIRPORT, AK US",3
Aramac Airport,"LARAMIE AIRPORT, WY US",3
Pori Airport,"NOME AIRPORT, AK US",3
Roros Airport,"RENO AIRPORT, NV US",3
Tok Airport,"NOME AIRPORT, AK US",3
Fogo Airport,"NOME AIRPORT, AK US",3
Newton Municipal,"LAWTON MUNICIPAL AIRPORT, OK US",3
Fogo Airport,"RENO AIRPORT, NV US",3
Dillingham Airport,"BIRMINGHAM AIRPORT, AL US",3
Griswold,"BRISTOL AIRPORT, TN US",3
Kiffa Airport,"SITKA AIRPORT, AK US",3
Sechelt Airport,"BETHEL AIRPORT, AK US",3
Kapalua Airport,"KAHULUI AIRPORT, HI US",3
Lima Airport,"NOME AIRPORT, AK US",3
Leh Airport,"RENO AIRPORT, NV US",3
Bristol Airport,"BISHOP AIRPORT, CA US",3
Blythe Airport,"BETHEL AIRPORT, AK US",3
Rijeka Airport,"SITKA AIRPORT, AK US",3
Sion Airport,"SITKA AIRPORT, AK US",3
Nioro Airport,"NOME AIRPORT, AK US",3
Nowra Airport,"NOME AIRPORT, AK US",3
Ndele Airport,"NOME AIRPORT, AK US",3
Sofia Airport,"SITKA AIRPORT, AK US",3
Cork Airport,"NOME AIRPORT, AK US",3
Jean Airport,"RENO AIRPORT, NV US",3
Ruby Airport,"RENO AIRPORT, NV US",3
Beaver Airport,"BETHEL AIRPORT, AK US",3
Bomai Airport,"NOME AIRPORT, AK US",3
Pisa Airport,"SITKA AIRPORT, AK US",3
Gizo Airport,"RENO AIRPORT, NV US",3
Jean Airport,"JUNEAU AIRPORT, AK US",3
Safia Airport,"SITKA AIRPORT, AK US",3
Niort Airport,"NOME AIRPORT, AK US",3
Bishop Airport,"BRISTOL AIRPORT, TN US",3
Mitiga Airport,"SITKA AIRPORT, AK US",3
Scone Airport,"NOME AIRPORT, AK US",3
Rhode Island Tf Green International,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",3
Bettles Airport,"BETHEL AIRPORT, AK US",3
Bitam Airport,"SITKA AIRPORT, AK US",3
Minneapolis-St Paul International,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",3
Lancaster Airport,"MANCHESTER AIRPORT, NH US",3
Lanai Airport,"LARAMIE AIRPORT, WY US",3
Richmond Airport,"REDMOND AIRPORT, OR US",3
Tiska,"SITKA AIRPORT, AK US",3
Kudat Airport,"KODIAK AIRPORT, AK US",3
Sishen Airport,"BISHOP AIRPORT, CA US",3
Aragip Airport,"LARAMIE AIRPORT, WY US",3
Ramona Airport,"REDMOND AIRPORT, OR US",3
Konya Airport,"KODIAK AIRPORT, AK US",3
Bissau Airport,"BISHOP AIRPORT, CA US",3
Jolo Airport,"RENO AIRPORT, NV US",3
Lima Airport,"SITKA AIRPORT, AK US",3
Yola Airport,"NOME AIRPORT, AK US",3
Craiova Airport,"CORDOVA AIRPORT, AK US",3
Jolo Airport,"NOME AIRPORT, AK US",3
Tauta Airport,"YAKUTAT AIRPORT, AK US",3
Goroka Airport,"CORDOVA AIRPORT, AK US",3
