"id","name","code"
10365,"Asbury Park/Monmouth County","ARX"
10366,"Ararat Airport","ARY"
10367,"N'zeto Airport","ARZ"
10368,"Assab International","ASA"
10369,"Ashgabat Airport","ASB"
10370,"Ascension Airport","ASC"
10371,"Andros Town Airport","ASD"
10372,"Aspen Pitkin County Sardy Field","ASE"
10373,"Ashburton Airport","ASG"
10374,"Boire Field","ASH"
10375,"Ascension Aux Af","ASI"
10376,"Amami","ASJ"
10377,"Yamoussoukro Airport","ASK"
10378,"Harrison County","ASL"
10379,"Asmara International","ASM"
10380,"Talladega Municipal","ASN"
10381,"Asosa Airport","ASO"
10382,"Alice Springs Airport","ASP"
10383,"Austin Airport","ASQ"
10384,"Erkilet","ASR"
10385,"Astoria Regional","AST"
10386,"Silvio Pettirossi International","ASU"
10387,"Aswan International","ASW"
10388,"John F Kennedy Memorial","ASX"
10389,"Ashley Municipal","ASY"
10390,"Anta Huaraz","ATA"
10391,"Atbara Airport","ATB"
10392,"Arthur's Town Airport","ATC"
10393,"Antlers Municipal","ATE"
10394,"Eleftherios Venizelos International","ATH"
10395,"Artigas International","ATI"
10396,"Atqasuk Edward Burnell Sr. Memorial","ATK"
10397,"Atlanta Municipal","ATL"
10398,"Altamira Airport","ATM"
10399,"Namatanai Airport","ATN"
10400,"Ohio University","ATO"
10401,"Aitape Airport","ATP"
10402,"Amritsar Airport","ATQ"
10403,"Atar Airport","ATR"
10404,"Artesia Municipal","ATS"
10405,"Atmautluak Airport","ATT"
10406,"Casco Cove","ATU"
10407,"Ati Airport","ATV"
10408,"Appleton International","ATW"
10409,"Watertown Municipal","ATY"
10410,"Assiut Airport","ATZ"
10411,"Reina Beatrix International","AUA"
10412,"Santiago Perez","AUC"
10413,"Augustus Downs Airport","AUD"
10414,"Augusta","AUG"
10415,"Abu Dhabi International","AUH"
10416,"Alakanuk Airport","AUK"
10417,"Austin Municipal","AUM"
10418,"Auburn Municipal","AUN"
10419,"Auburn University Regional","AUO"
10420,"Aguan Papua N.G.","AUP"
10421,"Hiva Oa/Atuona","AUQ"
10422,"Aurillac Airport","AUR"
10423,"Austin - Bergstrom International","AUS"
10424,"Wausau Downtown","AUW"
10425,"Araguaina Airport","AUX"
10426,"Anatom","AUY"
10427,"Aurora Municipal","AUZ"
10428,"Aviano AB","AVB"
10430,"Maximo Gomez","AVI"
10431,"Asheville Regional","AVL"
10432,"Avignon Caumont","AVN"
10433,"Avon Park Executive","AVO"
10434,"Wilkes Barre Scranton International","AVP"
10435,"Avalon Airport","AVV"
