AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_STATE_NAME,LATITUDE,LONGITUDE
10154,ACK,Nantucket Memorial,"Nantucket, MA",13,Massachusetts,41.25305556,-70.06000000
10154,ACK,Nantucket Memorial,"Nantucket, MA",13,Massachusetts,41.25305556,-70.06000000
10154,ACK,Nantucket Memorial,"Nantucket, MA",13,Massachusetts,41.25333333,-70.06055556
10154,ACK,Nantucket Memorial,"Nantucket, MA",13,Massachusetts,41.25666667,-70.05972222
10155,ACT,Waco Regional,"Waco, TX",74,Texas,31.61138889,-97.22861111
10155,ACT,Waco Regional,"Waco, TX",74,Texas,31.61222222,-97.23027778
10156,ACU,Achutupo Airport,"Achutupo, Panama",162,,8.43333333,-77.96666667
10157,ACV,Arcata,"Arcata/Eureka, CA",91,California,40.97777778,-124.10833333
10157,ACV,Arcata,"Arcata/Eureka, CA",91,California,40.97805556,-124.10861111
10157,ACV,Arcata,"Arcata/Eureka, CA",91,California,40.97805556,-124.10861111
10157,ACV,Arcata,"Arcata/Eureka, CA",91,California,40.97916667,-124.10750000
10157,ACV,California Redwood Coast Humboldt County,"Arcata/Eureka, CA",91,California,40.97777778,-124.10833333
10157,ACV,California Redwood Coast Humboldt County,"Arcata/Eureka, CA",91,California,40.97777778,-124.10833333
10158,ACY,Atlantic City International,"Atlantic City, NJ",21,New Jersey,39.45750000,-74.57805556
10158,ACY,Atlantic City International,"Atlantic City, NJ",21,New Jersey,39.45750000,-74.57722222
10158,ACY,Nafec Atl,"Atlantic City, NJ",21,New Jersey,39.45666667,-74.57777778
10158,ACY,Nafec Atlantic City,"Atlantic City, NJ",21,New Jersey,39.45611111,-74.57805556
10159,ADA,Adana International,"Adana, Turkey",679,,36.98222222,35.28027778
10159,ADA,Adana Sakirpasa,"Adana, Turkey",679,,36.98361111,35.28083333
10160,ADB,Adnan Menderes,"Izmir, Turkey",679,,38.29222222,27.15583333
10160,ADB,Adnan Menderes,"Izmir, Turkey",679,,38.29472222,27.16000000
10161,ADC,Andakombe Airport,"Andakombe, Papua New Guinea",804,,-7.13722222,145.74500000
10161,ADC,Andakombe Airport,"Andakombe, Papua New Guinea",804,,-7.13638889,145.74388889
10161,ADC,Andakombe Airport,"Andakombe, Papua New Guinea",804,,-7.13611111,145.74416667
10162,ADD,Bole International,"Addis Ababa, Ethiopia",522,,8.97805556,38.79944444
